"0","87","Sea radio trouble source.","710","298","855","254790","35","1"
"1","16","Sign third answer chair ball.","592","223","359","80057","5","1"
"2","72","Wife contain late behind continue.","512","275","366","100650","58","0"
"3","40","Front sense serious same parent southern difficult draw.","573","703","929","653087","24","1"
"4","71","Strong actually deal child.","847","36","332","11952","62","0"
"5","93","Hear note always generation seem difficult word.","106","189","884","167076","40","1"
"6","59","Guess position simple view.","786","186","549","102114","73","1"
"7","43","Lose heavy car American house history young.","740","5","785","3925","87","1"
"8","65","Above interview nor test experience.","185","756","856","647136","89","0"
"9","74","Will analysis piece general prevent Republican television.","778","564","89","50196","94","1"
"10","21","White blue evidence member stock this like.","223","562","912","512544","29","0"
"11","74","Not want eat key.","516","861","542","466662","98","1"
"12","2","Professional factor imagine early rise statement.","405","952","465","442680","66","0"
"13","86","Story room role white carry.","492","52","87","4524","1","0"
"14","54","Type spend real of building health.","242","409","203","83027","97","0"
"15","38","Whom course traditional new east professor phone learn.","555","623","168","104664","20","0"
"16","45","Mouth direction word beautiful prepare deep listen.","954","193","571","110203","50","1"
"17","90","Source money sound method.","690","680","729","495720","29","1"
"18","5","Without ready recently morning time response.","70","604","860","519440","27","1"
"19","13","Return full site quite little up draw.","200","423","25","10575","14","1"
"20","57","Address represent without set law ask from.","547","491","510","250410","60","0"
"21","73","Every beyond operation reduce those.","506","604","163","98452","25","1"
"22","30","Should nearly wonder high wide unit summer increase.","219","307","108","33156","10","1"
"23","32","Suggest close be small third race.","951","309","533","164697","13","0"
"24","78","Them avoid sea human party memory information foreign.","745","580","559","324220","32","0"
"25","30","Still teach my well common.","971","309","918","283662","10","1"
"26","40","Admit consider long development standard he push employee.","894","56","947","53032","46","0"
"27","51","Building east term together.","766","530","475","251750","99","0"
"28","58","We way assume relationship maybe attention.","447","645","258","166410","46","1"
"29","61","Tell single skin add.","516","274","40","10960","34","0"
"30","38","Appear onto or price upon billion else.","246","18","915","16470","11","1"
"31","7","Kitchen guy nearly.","722","927","485","449595","21","1"
"32","25","Series can career bill every entire heavy.","659","555","653","362415","86","1"
"33","96","Performance listen difficult western south watch husband.","181","729","161","117369","71","0"
"34","79","Player air spend.","795","22","912","20064","63","0"
"35","90","Career along member human after nothing system.","340","163","58","9454","74","1"
"36","78","Public meeting beautiful ahead mean campaign reveal.","470","861","876","754236","33","1"
"37","82","Require door both.","122","694","833","578102","47","1"
"38","46","Teacher foreign pull full decade seek.","964","37","408","15096","61","0"
"39","67","Eat right address agreement blood less spring.","340","553","628","347284","23","0"
"40","20","Push past food prevent situation statement raise.","579","535","240","128400","58","1"
"41","72","Tree same magazine natural model or offer require.","620","726","576","418176","85","0"
"42","91","Without worker side store.","60","157","475","74575","52","1"
"43","71","Every kid wide question safe at land bar.","368","729","138","100602","4","0"
"44","43","College reflect building off.","818","207","241","49887","82","0"
"45","24","Color agree number realize alone model cold.","865","726","546","396396","59","0"
"46","78","Community much room huge system between serious cause.","863","166","396","65736","30","0"
"47","33","Beautiful beyond deal.","257","305","972","296460","35","0"
"48","85","Green door as issue group money.","93","44","680","29920","22","1"
"49","3","Fund officer bank name create mission Mrs social.","367","337","336","113232","76","1"
"50","11","Visit class vote.","151","453","167","75651","55","0"
"51","56","Treat under near just along skill finally among.","15","374","24","8976","82","0"
"52","87","Though defense treatment open suffer others.","974","347","901","312647","92","1"
"53","64","Couple improve add create beyond.","556","775","779","603725","73","0"
"54","61","Just generation rest feel father.","24","157","197","30929","51","1"
"55","33","Skill feeling could bank true language.","205","469","955","447895","2","1"
"56","30","Significant chair how energy.","134","101","455","45955","29","0"
"57","71","Few stand table teacher PM part.","189","484","426","206184","91","1"
"58","92","Member fly personal line.","937","613","700","429100","79","0"
"59","29","Another possible relate difficult full.","444","224","252","56448","17","0"
"60","28","Economy way out court bag.","275","533","433","230789","53","1"
"61","25","Because course down nature develop control material.","77","235","811","190585","88","1"
"62","8","Politics music organization medical well to first.","618","302","772","233144","37","0"
"63","11","Wear speech specific pay.","255","311","176","54736","50","0"
"64","4","Others continue risk friend.","243","873","316","275868","81","0"
"65","63","Claim professor explain across less walk wife.","833","154","166","25564","14","1"
"66","32","Tell shake hundred father focus series.","12","175","147","25725","59","0"
"67","55","Job history make resource cut reason.","517","297","655","194535","43","1"
"68","40","Change security individual foreign throw.","340","240","318","76320","70","1"
"69","15","Parent stop head because drop mother.","998","53","106","5618","63","0"
"70","97","Commercial above job.","105","418","284","118712","27","1"
"71","52","Subject blue four our.","970","88","232","20416","93","1"
"72","42","Peace compare quite establish how fight.","115","399","25","9975","32","0"
"73","97","Try usually performance us because him increase make.","792","943","418","394174","79","0"
"74","17","Defense training first loss loss subject.","444","762","653","497586","70","1"
"75","32","Arrive myself scientist bar item close similar.","769","244","709","172996","56","1"
"76","38","Receive simply carry personal economy.","331","193","40","7720","57","0"
"77","78","Detail face edge thousand back thousand success.","512","520","35","18200","29","1"
"78","60","Should doctor modern service receive.","657","173","228","39444","74","1"
"79","64","Capital act reveal trouble two.","15","264","780","205920","59","1"
"80","62","Wide response series when professional class before.","305","207","895","185265","42","1"
"81","17","Hospital seat daughter financial.","355","665","377","250705","51","0"
"82","41","Whole act often generation behind against south.","360","484","339","164076","53","1"
"83","37","Accept something speech side form.","774","719","624","448656","32","0"
"84","55","Yard across care season.","631","855","823","703665","11","1"
"85","0","Garden standard generation.","418","819","119","97461","67","1"
"86","56","Record early alone loss.","945","959","145","139055","9","1"
"87","88","Happen likely name success.","406","498","36","17928","42","1"
"88","76","Cost individual hospital while.","163","863","587","506581","25","1"
"89","42","Though third indicate.","251","917","900","825300","81","1"
"90","23","Turn blood evening.","374","923","783","722709","66","1"
"91","66","Watch rule increase.","71","686","473","324478","45","1"
"92","90","Eye point use action.","12","175","147","25725","59","1"
"93","25","Car business give character.","26","318","979","311322","45","1"
"94","38","They go forget suffer nation choose.","257","119","669","79611","33","1"
"95","22","Clearly entire population organization.","740","164","418","68552","5","0"
"96","16","Memory seven certain history hot reflect fact.","749","386","926","357436","96","1"
"97","44","Understand foot company.","839","941","959","902419","88","0"
"98","39","Section can head everyone compare.","722","927","485","449595","21","0"
"99","60","No half class cover contain.","126","602","131","78862","36","1"
"100","48","Fear use already add anything thing chance.","99","710","667","473570","43","1"
"101","92","Set young lawyer affect sea try ability.","510","302","881","266062","86","1"
"102","78","Best car decade information two page possible past.","340","54","52","2808","62","0"
"103","14","Personal mind effect central second stay.","397","48","581","27888","86","0"
"104","42","Can threat however whose enter carry option best.","940","156","860","134160","40","0"
